Laiks,Pulss_BPM,RR_Intervali_ms,Stavoklis
2026-04-26 11:24:13,80,[],MIERS
2026-04-26 11:24:14,80,[],MIERS
2026-04-26 11:24:16,80,[420],MIERS
2026-04-26 11:24:17,80,[],MIERS
2026-04-26 11:24:18,80,"[2276, 324]",MIERS
2026-04-26 11:24:19,80,[],MIERS
2026-04-26 11:24:20,80,[],MIERS
2026-04-26 11:24:21,80,"[2682, 246]",MIERS
2026-04-26 11:24:22,80,[],MIERS
2026-04-26 11:24:23,80,[1624],MIERS
2026-04-26 11:24:24,80,"[691, 425]",MIERS
2026-04-26 11:24:25,80,"[523, 496]",MIERS
2026-04-26 11:24:26,80,[717],MIERS
2026-04-26 11:24:27,80,"[742, 417]",MIERS
2026-04-26 11:24:28,80,[967],MIERS
2026-04-26 11:24:29,80,"[828, 539]",MIERS
2026-04-26 11:24:30,80,[],MIERS
2026-04-26 11:24:31,80,[1948],MIERS
2026-04-26 11:24:32,80,[1062],MIERS
2026-04-26 11:24:33,80,"[479, 664]",MIERS
2026-04-26 11:24:34,80,[],MIERS
2026-04-26 11:24:35,80,[1101],MIERS
2026-04-26 11:24:36,80,[],MIERS
2026-04-26 11:24:37,80,"[2315, 316]",MIERS
2026-04-26 11:24:38,80,"[328, 604]",MIERS
2026-04-26 11:24:39,80,[546],MIERS
2026-04-26 11:24:40,80,"[808, 257]",MIERS
2026-04-26 11:24:41,80,[1424],MIERS
2026-04-26 11:24:42,80,[],MIERS
2026-04-26 11:24:43,80,[1535],MIERS
2026-04-26 11:24:44,80,"[788, 457, 351]",MIERS
2026-04-26 11:24:45,80,[792],MIERS
2026-04-26 11:24:46,80,"[885, 277]",MIERS
2026-04-26 11:24:47,80,"[472, 300]",MIERS
2026-04-26 11:24:48,80,"[519, 234, 420]",MIERS
2026-04-26 11:24:49,80,"[335, 730]",MIERS
2026-04-26 11:24:50,80,"[558, 624]",MIERS
2026-04-26 11:24:51,80,"[300, 648]",MIERS
2026-04-26 11:24:52,80,"[417, 277]",MIERS
2026-04-26 11:24:53,80,"[433, 889]",MIERS
2026-04-26 11:24:54,80,[449],MIERS
2026-04-26 11:24:55,80,[],MIERS
2026-04-26 11:24:56,80,[1967],MIERS
2026-04-26 11:24:57,80,"[691, 351]",MIERS
2026-04-26 11:24:58,80,"[816, 678]",MIERS
2026-04-26 11:24:59,80,[328],MIERS
2026-04-26 11:25:00,80,"[816, 386]",MIERS
2026-04-26 11:25:01,80,[],MIERS
2026-04-26 11:25:02,80,[],MIERS
2026-04-26 11:25:03,80,[],MIERS
2026-04-26 11:25:04,80,[],MIERS
2026-04-26 11:25:05,80,[],MIERS
2026-04-26 11:25:06,80,"[1471, 609]",MIERS
2026-04-26 11:25:07,80,[],MIERS
2026-04-26 11:25:08,80,[1795],MIERS
2026-04-26 11:25:09,80,[1050],MIERS
2026-04-26 11:25:10,80,[449],MIERS
2026-04-26 11:25:11,80,[1577],MIERS
2026-04-26 11:25:12,80,[],MIERS
2026-04-26 11:25:13,80,[],MIERS
2026-04-26 11:31:24,87,[671],MIERS
2026-04-26 11:31:25,86,"[749, 734]",MIERS
2026-04-26 11:31:26,84,[752],MIERS
2026-04-26 11:31:27,84,[753],MIERS
2026-04-26 11:31:28,84,"[753, 752]",MIERS
2026-04-26 11:31:29,84,[750],MIERS
2026-04-26 11:31:30,84,"[738, 706]",MIERS
2026-04-26 11:31:32,85,[695],MIERS
2026-04-26 11:31:33,87,[683],MIERS
2026-04-26 11:31:34,88,"[683, 666]",MIERS
2026-04-26 11:31:35,92,"[648, 640]",MIERS
2026-04-26 11:31:36,93,[640],MIERS
2026-04-26 11:31:37,92,"[510, 640]",MIERS
2026-04-26 11:31:38,93,[589],MIERS
2026-04-26 11:31:39,95,"[796, 655]",MIERS
2026-04-26 11:31:40,95,[441],MIERS
2026-04-26 11:31:41,93,"[957, 531]",MIERS
2026-04-26 11:31:42,93,[],MIERS
2026-04-26 11:31:44,93,"[1541, 660]",MIERS
2026-04-26 11:31:44,93,[655],MIERS
2026-04-26 11:31:45,94,"[648, 640]",MIERS
2026-04-26 11:31:46,95,[636],MIERS
2026-04-26 11:31:47,96,"[620, 621]",STRESS
2026-04-26 11:31:48,94,[609],MIERS
2026-04-26 11:31:49,94,"[601, 612]",MIERS
2026-04-26 11:31:50,96,"[414, 792]",STRESS
2026-04-26 11:31:51,97,[636],STRESS
2026-04-26 11:31:52,99,"[604, 578]",STRESS
2026-04-26 11:31:53,101,"[488, 714]",STRESS
2026-04-26 11:31:54,102,"[589, 545]",STRESS
2026-04-26 11:31:55,103,"[289, 367]",STRESS
2026-04-26 11:31:56,103,"[582, 550]",STRESS
2026-04-26 11:31:57,105,"[565, 574]",STRESS
2026-04-26 11:31:58,104,[566],STRESS
2026-04-26 11:31:59,105,"[585, 506]",STRESS
2026-04-26 11:32:00,105,"[632, 562]",STRESS
2026-04-26 11:32:01,105,"[566, 566]",STRESS
2026-04-26 11:32:02,104,[565],STRESS
2026-04-26 11:32:03,103,"[570, 585]",STRESS
2026-04-26 11:32:04,101,"[593, 596]",STRESS
2026-04-26 11:32:05,100,[605],STRESS
2026-04-26 11:32:06,98,"[625, 644]",STRESS
2026-04-26 11:32:07,97,[651],STRESS
2026-04-26 11:32:08,97,"[660, 656]",STRESS
2026-04-26 11:32:09,97,"[636, 624]",STRESS
2026-04-26 11:32:10,98,[621],STRESS
2026-04-26 11:32:11,98,"[613, 605]",STRESS
2026-04-26 11:32:12,99,"[604, 609]",STRESS
2026-04-26 11:32:13,99,[593],STRESS
2026-04-26 11:32:14,99,"[597, 600]",STRESS
2026-04-26 11:32:15,100,"[597, 597]",STRESS
2026-04-26 11:32:16,100,[589],STRESS
2026-04-26 11:32:17,100,"[589, 588]",STRESS
2026-04-26 11:32:18,100,"[593, 601]",STRESS
2026-04-26 11:32:19,100,[605],STRESS
2026-04-26 11:32:20,100,"[600, 605]",STRESS
2026-04-26 11:32:21,101,"[605, 601]",STRESS
2026-04-26 11:32:22,101,[581],STRESS
2026-04-26 11:32:23,102,"[585, 585]",STRESS
2026-04-26 11:32:25,102,"[582, 577]",STRESS
2026-04-26 11:32:25,103,[578],STRESS
2026-04-26 11:32:26,103,"[578, 574]",STRESS
2026-04-26 11:32:27,103,"[578, 577]",STRESS
2026-04-26 11:32:28,103,"[578, 585]",STRESS
2026-04-26 11:32:29,103,[585],STRESS
2026-04-26 11:32:30,103,"[584, 585]",STRESS
2026-04-26 11:32:31,103,"[578, 578]",STRESS
2026-04-26 11:32:33,102,"[577, 582]",STRESS
2026-04-26 11:32:33,101,[593],STRESS
2026-04-26 11:32:34,100,"[601, 617]",STRESS
2026-04-26 11:32:35,98,[620],STRESS
2026-04-26 11:32:36,97,"[621, 625]",STRESS
2026-04-26 11:32:37,96,"[640, 647]",STRESS
2026-04-26 11:32:38,96,[660],STRESS
2026-04-26 11:32:39,96,"[644, 640]",STRESS
2026-04-26 11:32:40,96,[635],STRESS
2026-04-26 11:32:41,96,"[636, 636]",STRESS
2026-04-26 11:32:42,96,[628],STRESS
2026-04-26 11:32:43,96,"[624, 625]",STRESS
2026-04-26 11:32:44,96,"[628, 625]",STRESS
2026-04-26 11:32:45,95,[631],MIERS
2026-04-26 11:32:46,94,"[628, 632]",MIERS
2026-04-26 11:32:46,93,[648],MIERS
2026-04-26 11:32:47,92,"[666, 687]",MIERS
2026-04-26 11:32:48,91,[687],MIERS
2026-04-26 11:32:49,91,"[686, 679]",MIERS
2026-04-26 11:32:50,91,[671],MIERS
2026-04-26 11:32:51,91,"[664, 655]",MIERS
2026-04-26 11:32:52,91,[660],MIERS
2026-04-26 11:32:53,91,"[664, 660]",MIERS
2026-04-26 11:32:54,91,[666],MIERS
2026-04-26 11:32:55,90,"[671, 660]",MIERS
2026-04-26 11:32:56,92,[671],MIERS
2026-04-26 11:32:57,96,"[674, 664]",STRESS
2026-04-26 11:32:58,95,"[410, 285]",MIERS
2026-04-26 11:32:59,94,"[476, 823]",MIERS
2026-04-26 11:33:00,93,[648],MIERS
2026-04-26 11:33:01,92,"[656, 670]",MIERS
2026-04-26 11:33:02,91,[683],MIERS
2026-04-26 11:33:03,91,"[691, 687]",MIERS
2026-04-26 11:33:04,91,[678],MIERS
2026-04-26 11:33:05,90,"[679, 667]",MIERS
2026-04-26 11:33:06,90,[675],MIERS
2026-04-26 11:33:07,90,[678],MIERS
2026-04-26 11:33:08,90,"[699, 648]",MIERS
2026-04-26 11:33:09,91,"[656, 651]",MIERS
2026-04-26 11:33:10,91,[660],MIERS
2026-04-26 11:33:11,91,"[667, 655]",MIERS
2026-04-26 11:33:12,91,[664],MIERS
2026-04-26 11:33:13,90,"[652, 652]",MIERS
2026-04-26 11:33:14,90,[659],MIERS
2026-04-26 11:33:15,89,"[679, 699]",MIERS
2026-04-26 11:33:16,89,[691],MIERS
2026-04-26 11:33:17,89,[694],MIERS
2026-04-26 11:33:18,89,"[691, 695]",MIERS
2026-04-26 11:33:19,89,[667],MIERS
2026-04-26 11:33:20,91,"[674, 660]",MIERS
2026-04-26 11:33:21,92,[660],MIERS
2026-04-26 11:33:22,91,"[655, 382, 277]",MIERS
2026-04-26 11:33:23,91,[648],MIERS
2026-04-26 11:33:24,90,"[667, 678]",MIERS
2026-04-26 11:33:25,91,[679],MIERS
2026-04-26 15:02:12,83,[896],MIERS
2026-04-26 15:02:13,82,"[783, 238]",MIERS
2026-04-26 15:02:14,85,"[677, 450, 343]",MIERS
2026-04-26 15:02:15,86,[1021],MIERS
2026-04-26 15:02:16,86,[590],MIERS
2026-04-26 15:02:17,86,[614],MIERS
2026-04-26 15:02:18,86,[],MIERS
2026-04-26 15:02:19,86,[],MIERS
2026-04-26 15:02:20,91,[],MIERS
2026-04-26 15:02:21,90,[],MIERS
20:35:22,70,[],ZEMS
20:35:23,70,"[2249, 257]",ZEMS
20:35:25,70,[649],ZEMS
20:35:26,70,[],ZEMS
20:35:27,70,[2469],ZEMS
20:35:28,70,"[410, 817]",ZEMS
20:35:29,70,[708],ZEMS
20:35:30,70,"[1201, 226]",ZEMS
20:35:31,70,[543],ZEMS
20:35:32,70,[1000],ZEMS
20:35:33,70,[1234],ZEMS
20:35:34,70,"[425, 484]",ZEMS
20:35:35,70,[],ZEMS
20:35:36,70,[],ZEMS
20:35:37,70,[],ZEMS
20:35:38,70,[],ZEMS
20:35:39,70,[390],ZEMS
20:35:40,70,[],ZEMS
20:35:41,70,[2019],ZEMS
20:35:42,70,[995],ZEMS
20:35:43,70,[1320],ZEMS
20:35:44,70,[],ZEMS
20:35:45,70,[],ZEMS
20:35:46,70,"[2218, 859]",ZEMS
20:35:47,70,[784],ZEMS
20:35:48,70,[265],ZEMS
20:35:49,99,[1457],STRESS
20:35:50,100,"[612, 644]",STRESS
20:35:51,98,"[500, 703]",STRESS
20:35:52,95,[328],MIERS
20:35:53,93,"[795, 421]",MIERS
20:35:54,92,[804],MIERS
20:35:56,92,[726],MIERS
20:35:56,92,[1421],MIERS
20:35:57,93,[],MIERS
20:35:58,95,[],MIERS
20:35:59,94,"[2617, 480]",MIERS
20:36:00,94,[546],MIERS
20:36:01,94,[1410],MIERS
20:36:02,94,[],MIERS
20:36:03,94,[2167],MIERS
20:36:04,94,[],MIERS
20:36:05,93,"[1660, 355]",MIERS
20:36:06,93,[],MIERS
20:36:07,93,[1609],MIERS
20:36:08,94,[],MIERS
20:36:09,94,[2617],MIERS
20:36:10,94,[249],MIERS
20:36:11,94,"[1058, 703]",MIERS
20:36:12,94,[],MIERS
20:36:13,94,"[1425, 320]",MIERS
20:36:14,94,[],MIERS
20:36:15,94,[1960],MIERS
20:36:16,94,"[472, 281]",MIERS
20:36:17,94,[621],MIERS
20:36:19,94,[],MIERS
20:36:19,94,[],MIERS
20:36:20,94,[3312],MIERS
